Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2020M03;2018323.00
Total;Dato base;2020M02;4423576.00
Total;Dato base;2020M01;4138371.00
Total;Dato base;2019M12;4314612.00
Total;Dato base;2019M11;4664345.00
Total;Dato base;2019M10;7624486.00
Total;Dato base;2019M09;8914761.00
Total;Dato base;2019M08;10121985.00
Total;Dato base;2019M07;9887047.00
Total;Dato base;2019M06;8828499.00
Total;Dato base;2019M05;7952788.00
Total;Dato base;2019M04;7169675.00
Total;Dato base;2019M03;5649577.00
Total;Dato base;2019M02;4380504.00
Total;Dato base;2019M01;4195641.00
Total;Dato base;2018M12;4354798.00
Total;Dato base;2018M11;4536873.00
Total;Dato base;2018M10;7649860.00
Total;Dato base;2018M09;8932308.00
Total;Dato base;2018M08;10175761.00
Total;Dato base;2018M07;10020246.00
Total;Dato base;2018M06;8554306.00
Total;Dato base;2018M05;8086048.00
Total;Dato base;2018M04;6780378.00
Total;Dato base;2018M03;5393186.00
Total;Dato base;2018M02;4218047.00
Total;Dato base;2018M01;4106601.00
Total;Dato base;2017M12;3982530.00
Total;Dato base;2017M11;4392575.00
Total;Dato base;2017M10;7269931.00
Total;Dato base;2017M09;8877270.00
Total;Dato base;2017M08;10397745.00
Total;Dato base;2017M07;10493438.00
Total;Dato base;2017M06;8431975.00
Total;Dato base;2017M05;8002648.00
Total;Dato base;2017M04;7081594.00
Total;Dato base;2017M03;4913943.00
Total;Dato base;2017M02;4119137.00
Total;Dato base;2017M01;3905736.00
Total;Dato base;2016M12;3990446.00
Total;Dato base;2016M11;4098262.00
Total;Dato base;2016M10;7137723.00
Total;Dato base;2016M09;7932607.00
Total;Dato base;2016M08;10027471.00
Total;Dato base;2016M07;9545792.00
Total;Dato base;2016M06;7552758.00
Total;Dato base;2016M05;7111154.00
Total;Dato base;2016M04;6086327.00
Total;Dato base;2016M03;4627206.00
Total;Dato base;2016M02;3678726.00
Total;Dato base;2016M01;3526537.00
Total;Dato base;2015M12;3512914.00
Total;Dato base;2015M11;3754802.00
Total;Dato base;2015M10;6432341.00
Total;Tasa de variación anual;2020M03;-64.27
Total;Tasa de variación anual;2020M02;0.98
Total;Tasa de variación anual;2020M01;-1.36
Total;Tasa de variación anual;2019M12;-0.92
Total;Tasa de variación anual;2019M11;2.81
Total;Tasa de variación anual;2019M10;-0.33
Total;Tasa de variación anual;2019M09;-0.20
Total;Tasa de variación anual;2019M08;-0.53
Total;Tasa de variación anual;2019M07;-1.33
Total;Tasa de variación anual;2019M06;3.21
Total;Tasa de variación anual;2019M05;-1.65
Total;Tasa de variación anual;2019M04;5.74
Total;Tasa de variación anual;2019M03;4.75
Total;Tasa de variación anual;2019M02;3.85
Total;Tasa de variación anual;2019M01;2.17
Total;Tasa de variación anual;2018M12;9.35
Total;Tasa de variación anual;2018M11;3.29
Total;Tasa de variación anual;2018M10;5.23
Total;Tasa de variación anual;2018M09;0.62
Total;Tasa de variación anual;2018M08;-2.13
Total;Tasa de variación anual;2018M07;-4.51
Total;Tasa de variación anual;2018M06;1.45
Total;Tasa de variación anual;2018M05;1.04
Total;Tasa de variación anual;2018M04;-4.25
Total;Tasa de variación anual;2018M03;9.75
Total;Tasa de variación anual;2018M02;2.40
Total;Tasa de variación anual;2018M01;5.14
Total;Tasa de variación anual;2017M12;-0.20
Total;Tasa de variación anual;2017M11;7.18
Total;Tasa de variación anual;2017M10;1.85
Total;Tasa de variación anual;2017M09;11.91
Total;Tasa de variación anual;2017M08;3.69
Total;Tasa de variación anual;2017M07;9.93
Total;Tasa de variación anual;2017M06;11.64
Total;Tasa de variación anual;2017M05;12.54
Total;Tasa de variación anual;2017M04;16.35
Total;Tasa de variación anual;2017M03;6.20
Total;Tasa de variación anual;2017M02;11.97
Total;Tasa de variación anual;2017M01;10.75
Total;Tasa de variación anual;2016M12;13.59
Total;Tasa de variación anual;2016M11;9.15
Total;Tasa de variación anual;2016M10;10.97
Total;Tasa de variación anual;2016M09;9.52
Total;Tasa de variación anual;2016M08;6.34
Total;Tasa de variación anual;2016M07;9.99
Total;Tasa de variación anual;2016M06;12.89
Total;Tasa de variación anual;2016M05;8.19
Total;Tasa de variación anual;2016M04;11.59
Total;Tasa de variación anual;2016M03;15.45
Total;Tasa de variación anual;2016M02;13.95
Total;Tasa de variación anual;2016M01;11.04
Total;Tasa de variación anual;2015M12;7.92
Total;Tasa de variación anual;2015M11;10.56
Total;Tasa de variación anual;2015M10;8.89
Total;Acumulado en lo que va de año;2020M03;10580270.00
Total;Acumulado en lo que va de año;2020M02;8561947.00
Total;Acumulado en lo que va de año;2020M01;4138371.00
Total;Acumulado en lo que va de año;2019M12;83701011.00
Total;Acumulado en lo que va de año;2019M11;79386398.00
Total;Acumulado en lo que va de año;2019M10;74722053.00
Total;Acumulado en lo que va de año;2019M09;67097568.00
Total;Acumulado en lo que va de año;2019M08;58182807.00
Total;Acumulado en lo que va de año;2019M07;48060821.00
Total;Acumulado en lo que va de año;2019M06;38173774.00
Total;Acumulado en lo que va de año;2019M05;29345275.00
Total;Acumulado en lo que va de año;2019M04;21392487.00
Total;Acumulado en lo que va de año;2019M03;14225723.00
Total;Acumulado en lo que va de año;2019M02;8576146.00
Total;Acumulado en lo que va de año;2019M01;4195641.00
Total;Acumulado en lo que va de año;2018M12;82808413.00
Total;Acumulado en lo que va de año;2018M11;78453616.00
Total;Acumulado en lo que va de año;2018M10;73916743.00
Total;Acumulado en lo que va de año;2018M09;66266882.00
Total;Acumulado en lo que va de año;2018M08;57334574.00
Total;Acumulado en lo que va de año;2018M07;47158813.00
Total;Acumulado en lo que va de año;2018M06;37138567.00
Total;Acumulado en lo que va de año;2018M05;28584261.00
Total;Acumulado en lo que va de año;2018M04;20498213.00
Total;Acumulado en lo que va de año;2018M03;13717834.00
Total;Acumulado en lo que va de año;2018M02;8324648.00
Total;Acumulado en lo que va de año;2018M01;4106601.00
Total;Acumulado en lo que va de año;2017M12;81868522.00
Total;Acumulado en lo que va de año;2017M11;77885991.00
Total;Acumulado en lo que va de año;2017M10;73493416.00
Total;Acumulado en lo que va de año;2017M09;66223486.00
Total;Acumulado en lo que va de año;2017M08;57346216.00
Total;Acumulado en lo que va de año;2017M07;46948471.00
Total;Acumulado en lo que va de año;2017M06;36455033.00
Total;Acumulado en lo que va de año;2017M05;28023059.00
Total;Acumulado en lo que va de año;2017M04;20020410.00
Total;Acumulado en lo que va de año;2017M03;12938816.00
Total;Acumulado en lo que va de año;2017M02;8024873.00
Total;Acumulado en lo que va de año;2017M01;3905736.00
Total;Acumulado en lo que va de año;2016M12;75315008.00
Total;Acumulado en lo que va de año;2016M11;71324562.00
Total;Acumulado en lo que va de año;2016M10;67226301.00
Total;Acumulado en lo que va de año;2016M09;60088578.00
Total;Acumulado en lo que va de año;2016M08;52155971.00
Total;Acumulado en lo que va de año;2016M07;42128500.00
Total;Acumulado en lo que va de año;2016M06;32582708.00
Total;Acumulado en lo que va de año;2016M05;25029951.00
Total;Acumulado en lo que va de año;2016M04;17918796.00
Total;Acumulado en lo que va de año;2016M03;11832469.00
Total;Acumulado en lo que va de año;2016M02;7205263.00
Total;Acumulado en lo que va de año;2016M01;3526537.00
Total;Acumulado en lo que va de año;2015M12;
Total;Acumulado en lo que va de año;2015M11;
Total;Acumulado en lo que va de año;2015M10;
Total;Tasa de variación acumulada;2020M03;-25.63
Total;Tasa de variación acumulada;2020M02;-0.17
Total;Tasa de variación acumulada;2020M01;-1.36
Total;Tasa de variación acumulada;2019M12;1.08
Total;Tasa de variación acumulada;2019M11;1.19
Total;Tasa de variación acumulada;2019M10;1.09
Total;Tasa de variación acumulada;2019M09;1.25
Total;Tasa de variación acumulada;2019M08;1.48
Total;Tasa de variación acumulada;2019M07;1.91
Total;Tasa de variación acumulada;2019M06;2.79
Total;Tasa de variación acumulada;2019M05;2.66
Total;Tasa de variación acumulada;2019M04;4.36
Total;Tasa de variación acumulada;2019M03;3.70
Total;Tasa de variación acumulada;2019M02;3.02
Total;Tasa de variación acumulada;2019M01;2.17
Total;Tasa de variación acumulada;2018M12;1.15
Total;Tasa de variación acumulada;2018M11;0.73
Total;Tasa de variación acumulada;2018M10;0.58
Total;Tasa de variación acumulada;2018M09;0.07
Total;Tasa de variación acumulada;2018M08;-0.02
Total;Tasa de variación acumulada;2018M07;0.45
Total;Tasa de variación acumulada;2018M06;1.88
Total;Tasa de variación acumulada;2018M05;2.00
Total;Tasa de variación acumulada;2018M04;2.39
Total;Tasa de variación acumulada;2018M03;6.02
Total;Tasa de variación acumulada;2018M02;3.74
Total;Tasa de variación acumulada;2018M01;5.14
Total;Tasa de variación acumulada;2017M12;8.70
Total;Tasa de variación acumulada;2017M11;9.20
Total;Tasa de variación acumulada;2017M10;9.32
Total;Tasa de variación acumulada;2017M09;10.21
Total;Tasa de variación acumulada;2017M08;9.95
Total;Tasa de variación acumulada;2017M07;11.44
Total;Tasa de variación acumulada;2017M06;11.88
Total;Tasa de variación acumulada;2017M05;11.96
Total;Tasa de variación acumulada;2017M04;11.73
Total;Tasa de variación acumulada;2017M03;9.35
Total;Tasa de variación acumulada;2017M02;11.38
Total;Tasa de variación acumulada;2017M01;10.75
Total;Tasa de variación acumulada;2016M12;10.46
Total;Tasa de variación acumulada;2016M11;10.29
